Danish name;English name;Latin name;Category;speciesKey;taxonKey;ourID;kingdom;phylum;class;order;family;genus;species
Skællet stilkporesvamp;Pheasant's back mushroom;Polyporus squamosus;Fungi;7365370;7365370;OUR035;Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Polyporus;Polyporus squamosus
Skovfyr;European red pine;Pinus sylvestris L.;Herb;5285637;5285637;OUR036;Plantae;Tracheophyta;Pinopsida;Pinales;Pinaceae;Pinus;Pinus sylvestris
Strandsennep;Sea rocket;Cakile maritima;Herb;3048831;3048831;OUR037;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Cakile;Cakile maritima
Vild timian;Wild thyme;Thymus serpyllum;Herb;6409622;6409622;OUR038;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Thymus;Thymus serpyllum
Cikorie;Common chicory;Cichorium intybus;Root;5392252;5392252;OUR039;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Cichorium;Cichorium intybus
Skovjordbær;Wild strawberry;Fragaria vesca;Berry;3029817;3029817;OUR040;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Fragaria;Fragaria vesca
Brombær;Blackberry;Rubus plicatus;Berry;2990412;2990412;OUR041;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus plicatus
Fuglekirsebær;Wild cherry;Prunus avium;Berry;3020791;3020791;OUR042;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;Prunus avium
Hindbær;Raspberry;Rubus idaeus;Berry;2993094;2993094;OUR043;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus idaeus
Kornblomst;Cornflower;Centaurea cyanus;Flower;3089561;3089561;OUR044;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Centaurea;Centaurea cyanus
Valnød;Common walnut;Juglans regia;Nut;3054368;3054368;OUR045;Plantae;Tracheophyta;Magnoliopsida;Fagales;Juglandaceae;Juglans;Juglans regia
Vellugtende kamille;Chamomile;Matricaria recutita;Flower;8370958;3103774;OUR046;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Matricaria;Matricaria chamomilla
Hyldebær;Elderberry;Sambucus nigra;Berry;2888728;2888728;OUR047;Plantae;Tracheophyta;Magnoliopsida;Dipsacales;Viburnaceae;Sambucus;Sambucus nigra
Korbær;Dewberry;Rubus caesius;Berry;2995209;2995209;OUR048;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus caesius
Havtorn;Sea buckthorn;Hippophaë rhamnoides;Berry;3039285;3039285;OUR049;Plantae;Tracheophyta;Magnoliopsida;Rosales;Elaeagnaceae;Hippophae;Hippophae rhamnoides
Pære;Common pear;Pyrus communis;Fruit;5362573;5362573;OUR050;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Pyrus;Pyrus communis
Vildæble;Apple;Malus domestica;Fruit;3001244;3001244;OUR051;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Malus;Malus domestica
